% Device,CC1603004
% File name,CC1603004_20230203_133142
% Cast time (UTC),2023-02-03 13:31:42
% Cast time (local),2023-02-03 13:31:42
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,50.2160024
% Start longitude,-5.0277949
% Start altitude,51.889999389648438
% Start GPS horizontal error(Meter),4.619999885559082
% Start GPS vertical error(Meter),8.4499998092651367
% Start GPS number of satellites,5
% End latitude,50.2160449
% End longitude,-5.0277019
% End altitude,62.900001525878906
% End GPS horizontal error(Meter),11.239999771118164
% End GPS vertical error(Meter),24.569999694824219
% End GPS number of satellites,4
% Cast duration (Seconds),384.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-01-10
% Temperature calibration date,2018-12-08
% Pressure calibration date,2018-12-05
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15013795442751599,9.7778796456989241,26856.659551722612,38611.6977592164,23.922835569374691,1475.5646977629235,1018.3522528851007
0.44999999999999996,0.45030716389129249,9.7557632066049109,27652.480373304825,39781.143934209169,24.718817977187364,1476.4525247119784,1018.9765064129897
0.74999999999999989,0.75025119782481953,9.7193241371569155,28839.465122458809,41532.2962632135,25.915946959022875,1477.7747729541918,1019.9155490431609
1.05,1.0498798274644658,9.6898483621102933,30369.096713341522,43772.3111331209,27.458647697594046,1479.5444218605285,1021.1234110163558
1.35,1.3492051719243194,9.6790429858692271,31459.274537160945,45357.760521217024,28.558176706813697,1480.8462378945314,1021.9836183377353
1.65,1.6482515291185995,9.6962716310440182,32807.988345970931,47278.838335783068,29.901525254598322,1482.5488872701224,1023.0300291301885
1.9500000000000002,1.9470688841702497,9.71594496018525,33487.194883500953,48230.2799504759,30.571274854712183,1483.441134772426,1023.5508196631298
2.25,2.2457715394651911,9.7303677104467248,33836.570165452205,48713.233397863405,30.912554143529658,1483.9142976806475,1023.8161908937349
2.55,2.5443645906303334,9.7589062476981834,34480.06414881473,49598.891149082228,31.540228535728748,1484.7876501871385,1024.3028123244485
2.85,2.8428268738237659,9.785681498880253,35025.631070013987,50344.897039233605,32.07073428746061,1485.5361116895206,1024.7139057827537
3.15,3.14119315296862,9.7980223127613773,35350.394965260653,50793.683973667525,32.389968722142832,1485.9746942718216,1024.9624513345859
3.4499999999999997,3.4394787867232042,9.8231937825491364,35761.23511053378,51346.86286077345,32.785503030199678,1486.5527516127118,1025.2684662788452
3.75,3.7377081201608875,9.8429553829220087,35883.714293069272,51493.499760151492,32.892168607812621,1486.7592418488212,1025.3498443329538
3.932679999575166,3.9193031555218689,9.8507876224070134,35885.250440670061,51484.13119019146,32.886503278470478,1486.7837279798198,1025.34495763611
